Book Name,Author,Rating,Customers_Rated,Price
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.4 out of 5 stars,25,$19.48
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.4 out of 5 stars,25,0
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"56,404",$11.98
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"56,404",0
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"47,621",0
Will,Will Smith,4.8 out of 5 stars,"1,231",$19.03
Wreck This Journal: Now in Color,Keri Smith,4.7 out of 5 stars,"17,148",$9.59
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"68,618",$5.77
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8 out of 5 stars,"86,738",$10.35
Crucible Leadership: Embrace Your Trials to Lead a Life of Significance,Warwick Fairfax,5.0 out of 5 stars,15,$0.99
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.4 out of 5 stars,25,$14.99
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"25,962",$8.99
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"57,710",$11.50
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.8 out of 5 stars,"43,442",0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"57,710",0
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8 out of 5 stars,"45,241",0
Twelve and a Half: Leveraging the Emotional Ingredients Necessary for Business Success,Gary Vaynerchuk,4.7 out of 5 stars,8,0
Burn After Writing (Pink),Sharon Jones,4.6 out of 5 stars,"18,415",$6.99
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.8 out of 5 stars,"43,442",$14.99
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.8 out of 5 stars,"1,844",$15.88
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"58,263",$7.57
God Bless This Mess: Learning to Live and Love Through Life's Best (and Worst) Moments,Hannah Brown,4.5 out of 5 stars,192,$18.39
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7 out of 5 stars,"23,505",$8.99
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7 out of 5 stars,"23,529",$11.94
How to Win Friends & Influence People,Dale Carnegie,4.7 out of 5 stars,"51,896",0
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"32,720",$14.99
101 Essays That Will Change The Way You Think,Brianna Wiest,4.8 out of 5 stars,"2,982",$14.39
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks…",Megan Logan MSW LCSW,4.7 out of 5 stars,"9,018",$9.59
Untamed,Glennon Doyle,4.6 out of 5 stars,"56,121",$16.73
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,4.7 out of 5 stars,"6,501",$14.49
God Bless This Mess: Learning to Live and Love Through Life's Best (and Worst) Moments,Hannah Brown,4.5 out of 5 stars,192,0
Get Untamed: The Journal (How to Quit Pleasing and Start Living),Glennon Doyle,4.8 out of 5 stars,42,$12.98
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7 out of 5 stars,"17,717",0
The High 5 Habit: Take Control of Your Life with One Simple Habit,Mel Robbins,4.8 out of 5 stars,"1,450",0
The Four Agreements,don Miguel Ruiz,4.7 out of 5 stars,"68,618",0
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.8 out of 5 stars,"21,112",0
"Relaxing Flowers: Coloring Book For Adults With Flower Patterns, Bouquets, Wreaths, Swirls, Decorations.",Coloring Book Kim,4.7 out of 5 stars,997,$5.99
The Crystal Bible (The Crystal Bible Series),Judy Hall,4.8 out of 5 stars,"10,312",$14.95
Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,Brené Brown,4.7 out of 5 stars,"12,783",$10.39
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7 out of 5 stars,"24,761",$10.50
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,4.8 out of 5 stars,"58,263",0
Create This Book,Moriah Elizabeth,4.8 out of 5 stars,"15,221",$13.99
Unfu*k Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,4.6 out of 5 stars,"16,352",0
Wreck This Journal (Black) Expanded Edition,Keri Smith,4.7 out of 5 stars,"10,009",$10.29
Clarity & Connection,Yung Pueblo,4.9 out of 5 stars,"2,581",$13.38
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,4.8 out of 5 stars,"20,952",$15.90
The Book of Hope: A Survival Guide for Trying Times (Global Icons Series),Jane Goodall,4.8 out of 5 stars,207,$16.80
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"47,621",$16.95
Beyond Order: 12 More Rules for Life,Jordan B. Peterson,4.9 out of 5 stars,"8,940",$20.28
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,4.8 out of 5 stars,"7,975",$9.59
